,Brands,Type,Ton,Star,Price_Range(₹),Avg_star_Range,Available
1577808,Lg,Split Dual Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",2
1577809,Lg,Split Dual Inverter,1.5,3.0,"(55000, 60000]","(4.5, 5.0]",1
1577827,Lg,Split Dual Inverter,1.5,3.0,"(65000, 70000]","(3.5, 4.0]",1
1577828,Lg,Split Dual Inverter,1.5,3.0,"(65000, 70000]","(4.0, 4.5]",1
1577838,Lg,Split Dual Inverter,1.5,3.0,"(70000, 75000]","(4.0, 4.5]",1
1577847,Lg,Split Dual Inverter,1.5,3.0,"(75000, 80000]","(3.5, 4.0]",1
1578017,Lg,Split Dual Inverter,1.5,4.0,"(55000, 60000]","(3.5, 4.0]",1
1578018,Lg,Split Dual Inverter,1.5,4.0,"(55000, 60000]","(4.0, 4.5]",1
1578048,Lg,Split Dual Inverter,1.5,4.0,"(70000, 75000]","(4.0, 4.5]",1
1578228,Lg,Split Dual Inverter,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",1
1578238,Lg,Split Dual Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
1578246,Lg,Split Dual Inverter,1.5,5.0,"(65000, 70000]","(3.0, 3.5]",2
1578266,Lg,Split Dual Inverter,1.5,5.0,"(75000, 80000]","(3.0, 3.5]",5
1578267,Lg,Split Dual Inverter,1.5,5.0,"(75000, 80000]","(3.5, 4.0]",1
1578268,Lg,Split Dual Inverter,1.5,5.0,"(75000, 80000]","(4.0, 4.5]",1
1578276,Lg,Split Dual Inverter,1.5,5.0,"(80000, 85000]","(3.0, 3.5]",1
1580338,Lg,Split Dual Inverter,2.0,3.0,"(60000, 65000]","(4.0, 4.5]",1
1604658,Lg,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
1604678,Lg,Split Inverter,1.0,3.0,"(50000, 55000]","(4.0, 4.5]",1
1604688,Lg,Split Inverter,1.0,3.0,"(55000, 60000]","(4.0, 4.5]",1
1608028,Lg,Split Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
1608038,Lg,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
1608468,Lg,Split Inverter,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",1
1665588,Lg,Window Dual Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",1
1671458,Lg,Window Dual Inverter,2.0,5.0,"(50000, 55000]","(4.0, 4.5]",1
1689088,Lg,Window Smart,1.5,5.0,"(45000, 50000]","(4.0, 4.5]",1
1755848,Livpure,Split Inverter Smart,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
1759218,Livpure,Split Inverter Smart,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
1846577,Lloyd,Split,1.0,3.0,"(40000, 45000]","(3.5, 4.0]",1
1846578,Lloyd,Split,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
1849937,Lloyd,Split,1.5,3.0,"(40000, 45000]","(3.5, 4.0]",1
1849958,Lloyd,Split,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",2
1849968,Lloyd,Split,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",1
1852509,Lloyd,Split,2.0,3.0,"(65000, 70000]","(4.5, 5.0]",1
1880198,Lloyd,Split Expandable,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
1886916,Lloyd,Split Inverter,1.0,3.0,"(50000, 55000]","(3.0, 3.5]",1
1887754,Lloyd,Split Inverter,1.2,3.0,"(50000, 55000]","(2.0, 2.5]",1
1890258,Lloyd,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
1890288,Lloyd,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",2
1890294,Lloyd,Split Inverter,1.5,3.0,"(60000, 65000]","(2.0, 2.5]",1
1890298,Lloyd,Split Inverter,1.5,3.0,"(60000, 65000]","(4.0, 4.5]",1
1890318,Lloyd,Split Inverter,1.5,3.0,"(70000, 75000]","(4.0, 4.5]",1
1890718,Lloyd,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",4
1892838,Lloyd,Split Inverter,2.0,3.0,"(70000, 75000]","(4.0, 4.5]",1
1937278,Lloyd,Window,1.0,3.0,"(30000, 35000]","(4.0, 4.5]",2
1940628,Lloyd,Window,1.5,3.0,"(25000, 30000]","(4.0, 4.5]",1
1940648,Lloyd,Window,1.5,3.0,"(35000, 40000]","(4.0, 4.5]",2
1940656,Lloyd,Window,1.5,3.0,"(40000, 45000]","(3.0, 3.5]",1
1940857,Lloyd,Window,1.5,4.0,"(35000, 40000]","(3.5, 4.0]",1
1941088,Lloyd,Window,1.5,5.0,"(45000, 50000]","(4.0, 4.5]",1
1961247,Lloyd,Window Inverter,1.5,5.0,"(45000, 50000]","(3.5, 4.0]",1
1991058,Lumx,Split,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
2031387,Lumx,Split Inverter,1.5,3.0,"(45000, 50000]","(3.5, 4.0]",1
2128808,Marq,Split,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
2132178,Marq,Split,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
2152788,Marq,Split Dual Inverter Smart,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",1
2167428,Marq,Split Inverter,0.8,3.0,"(25000, 30000]","(4.0, 4.5]",1
2167467,Marq,Split Inverter,0.8,3.0,"(45000, 50000]","(3.5, 4.0]",1
2169128,Marq,Split Inverter,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",2
2169147,Marq,Split Inverter,1.0,3.0,"(45000, 50000]","(3.5, 4.0]",1
2169987,Marq,Split Inverter,1.2,3.0,"(45000, 50000]","(3.5, 4.0]",1
2172947,Marq,Split Inverter,1.5,5.0,"(55000, 60000]","(3.5, 4.0]",1
2223298,Marq,Window,1.5,5.0,"(30000, 35000]","(4.0, 4.5]",1
2273326,Midea,Split,1.5,3.0,"(55000, 60000]","(3.0, 3.5]",1
2313638,Midea,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
2434588,Motorola,Split Dual Inverter Smart,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
2437138,Motorola,Split Dual Inverter Smart,2.0,3.0,"(60000, 65000]","(4.0, 4.5]",1
2592508,Nokia,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
2626118,Nokia,Split Triple Inverter Smart,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
2698388,O General,Split,1.8,3.0,"(65000, 70000]","(4.0, 4.5]",1
2787376,O General,Window,1.5,3.0,"(40000, 45000]","(3.0, 3.5]",1
2847878,Onida,Split Dual Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
2847879,Onida,Split Dual Inverter,1.5,3.0,"(50000, 55000]","(4.5, 5.0]",1
2874738,Onida,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
2874745,Onida,Split Inverter,1.0,3.0,"(45000, 50000]","(2.5, 3.0]",1
2878118,Onida,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
2878558,Onida,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
2888178,Onida,Split Inverter Smart,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
2981447,Panasonic,Split,2.0,3.0,"(55000, 60000]","(3.5, 4.0]",1
3015858,Panasonic,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
3015868,Panasonic,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",2
3016288,Panasonic,Split Inverter,1.0,5.0,"(45000, 50000]","(4.0, 4.5]",1
3016289,Panasonic,Split Inverter,1.0,5.0,"(45000, 50000]","(4.5, 5.0]",1
3016298,Panasonic,Split Inverter,1.0,5.0,"(50000, 55000]","(4.0, 4.5]",1
3016308,Panasonic,Split Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",1
3016318,Panasonic,Split Inverter,1.0,5.0,"(60000, 65000]","(4.0, 4.5]",1
3019235,Panasonic,Split Inverter,1.5,3.0,"(50000, 55000]","(2.5, 3.0]",1
3019238,Panasonic,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",3
3019248,Panasonic,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",1
3019658,Panasonic,Split Inverter,1.5,5.0,"(50000, 55000]","(4.0, 4.5]",2
3019668,Panasonic,Split Inverter,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",2
3019669,Panasonic,Split Inverter,1.5,5.0,"(55000, 60000]","(4.5, 5.0]",1
3019688,Panasonic,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",2
3021788,Panasonic,Split Inverter,2.0,3.0,"(65000, 70000]","(4.0, 4.5]",1
3022208,Panasonic,Split Inverter,2.0,5.0,"(65000, 70000]","(4.0, 4.5]",1
3022228,Panasonic,Split Inverter,2.0,5.0,"(75000, 80000]","(4.0, 4.5]",1
3023694,Panasonic,Split Inverter,2.2,4.0,"(75000, 80000]","(2.0, 2.5]",1
3029308,Panasonic,Split Inverter Smart,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
3032288,Panasonic,Split Inverter Smart,2.0,5.0,"(65000, 70000]","(4.0, 4.5]",1
3157198,Realme,Split Inverter,1.0,4.0,"(45000, 50000]","(4.0, 4.5]",1
3160568,Realme,Split Inverter,1.5,4.0,"(50000, 55000]","(4.0, 4.5]",1
3160788,Realme,Split Inverter,1.5,5.0,"(55000, 60000]","(4.0, 4.5]",1
3257769,Samsung,Split,1.0,3.0,"(35000, 40000]","(4.5, 5.0]",1
3257788,Samsung,Split,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
3261138,Samsung,Split,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",2
3298088,Samsung,Split Inverter,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
3298098,Samsung,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
3298109,Samsung,Split Inverter,1.0,3.0,"(45000, 50000]","(4.5, 5.0]",1
3298528,Samsung,Split Inverter,1.0,5.0,"(45000, 50000]","(4.0, 4.5]",1
3298538,Samsung,Split Inverter,1.0,5.0,"(50000, 55000]","(4.0, 4.5]",1
3298539,Samsung,Split Inverter,1.0,5.0,"(50000, 55000]","(4.5, 5.0]",1
3301468,Samsung,Split Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",3
3301478,Samsung,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
3301488,Samsung,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",2
3301489,Samsung,Split Inverter,1.5,3.0,"(55000, 60000]","(4.5, 5.0]",1
3301499,Samsung,Split Inverter,1.5,3.0,"(60000, 65000]","(4.5, 5.0]",1
3301687,Samsung,Split Inverter,1.5,4.0,"(50000, 55000]","(3.5, 4.0]",1
3301688,Samsung,Split Inverter,1.5,4.0,"(50000, 55000]","(4.0, 4.5]",1
3301697,Samsung,Split Inverter,1.5,4.0,"(55000, 60000]","(3.5, 4.0]",1
3301707,Samsung,Split Inverter,1.5,4.0,"(60000, 65000]","(3.5, 4.0]",1
3301708,Samsung,Split Inverter,1.5,4.0,"(60000, 65000]","(4.0, 4.5]",1
3301716,Samsung,Split Inverter,1.5,4.0,"(65000, 70000]","(3.0, 3.5]",1
3301909,Samsung,Split Inverter,1.5,5.0,"(55000, 60000]","(4.5, 5.0]",1
3301928,Samsung,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",2
3301938,Samsung,Split Inverter,1.5,5.0,"(70000, 75000]","(4.0, 4.5]",1
3304247,Samsung,Split Inverter,2.0,4.0,"(70000, 75000]","(3.5, 4.0]",1
3304258,Samsung,Split Inverter,2.0,4.0,"(75000, 80000]","(4.0, 4.5]",2
3318268,Samsung,Split Triple Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
3402258,Sansui,Split,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
3412358,Sansui,Split Dual Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
3462748,Sansui,Split Triple Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
3583698,Tcl,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
3681128,Thomson,Split,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
3721448,Thomson,Split Inverter,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
3724818,Thomson,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
3725248,Thomson,Split Inverter,1.5,5.0,"(45000, 50000]","(4.0, 4.5]",1
3822247,Toshiba,Split,1.0,3.0,"(35000, 40000]","(3.5, 4.0]",1
3825628,Toshiba,Split,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
3862579,Toshiba,Split Inverter,1.0,3.0,"(40000, 45000]","(4.5, 5.0]",1
3863007,Toshiba,Split Inverter,1.0,5.0,"(45000, 50000]","(3.5, 4.0]",1
3865957,Toshiba,Split Inverter,1.5,3.0,"(50000, 55000]","(3.5, 4.0]",1
3866391,Toshiba,Split Inverter,1.5,5.0,"(60000, 65000]","(0.5, 1.0]",1
3866411,Toshiba,Split Inverter,1.5,5.0,"(70000, 75000]","(0.5, 1.0]",1
4102828,Voltas,Split,0.8,3.0,"(45000, 50000]","(4.0, 4.5]",1
4104498,Voltas,Split,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
