,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
641,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1700 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,35,4,4.3,"₹34,999","₹57,990"
642,Voltas, 1 Ton, 3 Star,split ,Red,Copper,Noise level: 38 dB,Power Consumption: 1000 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas,nan,,,"₹32,000","₹40,000"
644,SAMSUNG, 1 Ton, 5 Star,split ,White,Alloy,Noise level: 22 dB,Power Consumption: 920 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years on Digital Inverter Compressor, 1 Year Warranty on Copper Condenser Models and 2 Years on PCB Controller from Samsung",nan,,,"₹50,000","₹53,800"
645,White Westing House, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 6300 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹54,999","₹68,000"
646,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 30 dB,Power Consumption: 1095 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",nan,,,"₹59,990","₹81,200"
648,CARRIER, 1 Ton, 3 Star,window ,White,,Noise level: 48 dB,Power Consumption: 1280 W,Refrigerant: R-221 ,,,8,1,4.3,"₹29,590","₹30,990"
649,LG, 1.5 Ton, 5 Star,split dual inverter ,Multicolor,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",nan,,,"₹47,990","₹77,990"
650,SAMSUNG, 1 Ton, 3 Star,split ,White,Alloy,Noise level: 21 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years on Digital Inverter Compressor, 1 Year Warranty on Copper Condenser Models and 2 Years on PCB Controller from Samsung",nan,,,"₹50,400",
651,Hitachi, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1110 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 years Comprehensive warranty, 5 years on Controller/PCB, 10 years on Compressor, 1 year Free Gas Recharge","3,288",371,4.1,"₹31,490","₹42,290"
652,Croma, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 54.5 dB,Power Consumption: 1425 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 10 Years on Compressor",nan,,,"₹40,990","₹55,000"
653,Daikin, 1 Ton,,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,990","₹47,700"
654,Hitachi, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 94 dB,Power Consumption: 1475 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Hitachi,17,1,3.8,"₹38,300","₹52,700"
655,Blue Star, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 1375 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",358,47,4.3,"₹42,980","₹61,750"
656,LG, 1 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 1050.84 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging from LG",nan,,,"₹34,490","₹52,990"
657,Sansui, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 37 db,Power Consumption: 1413 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"1,529",211,4.2,"₹26,490","₹42,999"
658,LG, 1.5 Ton, 4 Star,split dual inverter ,White,,,,,Wi-Fi Enabled: No,,7,0,3.7,"₹38,990","₹59,990"
659,Panasonic, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 1013.01 kWh,,Wi-Fi Enabled: Yes,1 Year Warranty on Product and 10 Years on Compresser,7,2,4.4,"₹52,907","₹69,000"
660,SAMSUNG, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1060 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 year on Product 10 yr Compressor, 1 year condensor",473,84,4.3,"₹36,500","₹40,300"
661,LG, 1 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 1080 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*","3,900",638,4.4,"₹37,500","₹46,990"
662,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 940.09 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on Condenser and 10 Years on Compressor",54,4,4,"₹34,990","₹52,990"
663,CARRIER, 1 Ton, 3 Star,window ,White,Copper,Noise level: 54 dB,Power Consumption: 1120 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor,"1,376",177,4.3,"₹29,590","₹30,990"
664,TOSHIBA, 1.8 Ton, 5 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1850 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",nan,,,"₹58,490","₹74,100"
665,Whirlpool, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 1773 W,,Wi-Fi Enabled: No,"1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor","1,618",244,4.2,"₹33,000","₹49,000"
666,Lloyd, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 1757 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Llyod",nan,,,"₹53,990","₹79,990"
667,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,,Power Consumption: 1760 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,"5,222",660,4.3,"₹38,990","₹57,834"
668,Croma, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1045 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 10 Years on Compressor",nan,,,"₹31,890","₹40,000"
669,Daikin, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 51 dB,,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Total Unit and 5 Years on Compressor,520,48,4.3,"₹40,499","₹42,900"
670,LG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 28 dB,Power Consumption: 1420 W,Refrigerant: R-410A,Wi-Fi Enabled: No,1 Year Comprehensive and 9 Years on Compressor,49,10,4.2,"₹47,490","₹55,490"
671,Hitachi, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 1730 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 years Comprehensive warranty, 5 years on Controller/PCB, 10 years on Compressor, 1 year Free Gas Recharge",258,20,4.1,"₹34,999","₹50,490"
672,Haier, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 1630 W,,Wi-Fi Enabled: No,1 Year on Product and 12 Years on Compressor from Haier,nan,,,"₹37,499","₹65,000"
673,TOSHIBA, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 1200 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",1,1,5,"₹33,490","₹43,600"
674,LG, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 1080 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from LG,5,0,4.4,"₹34,999","₹44,990"
676,CARRIER, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 44 dB,Power Consumption: 1475 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,"4,123",425,4.3,"₹31,999","₹47,990"
677,Blue Star, 2 Ton,,split ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹50,299","₹58,000"
678,Hitachi, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 2350 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor,"2,029",321,4.2,"₹49,500","₹56,490"
680,Midea, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1380 W,Refrigerant: R-32A,Wi-Fi Enabled: Yes,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹38,999","₹66,990"
