,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
152,Blue Star, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1440 W,,Wi-Fi Enabled: No,"1 Year on Product and Condenser, 10 Years on Compressor warranty from Blue Star.","3,506",417,4.4,"₹34,990","₹50,000"
153,Blue Star Convertible 4-in-1 Cooling, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 33.8 dB,Power Consumption: 1500 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,219,20,3.8,"₹33,490","₹56,000"
154,Voltas, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1590 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,"1,686",158,4.3,"₹39,999","₹68,990"
156,Daikin, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1110 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Daikin,"2,367",222,4.2,"₹32,100","₹42,200"
157,Blue Star, 1.2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 58 dB,Power Consumption: 926.14 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star,121,6,4.2,"₹31,990","₹52,000"
158,SAMSUNG, 1 Ton, 3 Star,split ,White,Copper,Noise level: 42 dB,Power Consumption: 920 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung,138,8,4.3,"₹29,990","₹45,990"
160,Daikin, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 1200 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",576,54,4.2,"₹32,999","₹48,200"
161,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 db,Power Consumption: 1700 W,,Wi-Fi Enabled: No,"1 Year Comprehensive Warranty on Product, 1 Years on PCB, 1 Years on Condenser, 1 Years Free Gas Recharge and 10 Years on Compressor","8,715",843,4.2,"₹32,499","₹48,990"
162,Panasonic, 1.5 Ton, 3 Star,split inverter smart,White,Copper,Noise level: 43 dB,Power Consumption: 1050.21 W,Refrigerant: R-32A,Wi-Fi Enabled: Yes,"1 Year Product Warranty, 10 Years Compressor Warranty, 5 Years PCB  Warranty",623,101,4.3,"₹36,990","₹50,000"
164,Lloyd, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 53 dB,Power Consumption: 1233.93 kWh,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,92,11,4.3,"₹28,490","₹37,990"
165,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",26,4,3.8,"₹48,990","₹77,990"
166,CARRIER Flexicool Convertible 6-in-1 Cooling, 2 Ton, 5 Star,split inverter ,,Copper,Noise level: 38 dB,Power Consumption: 1695 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,"6,413",795,4.3,"₹57,999","₹89,690"
168,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1750 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Comprehensive and 5 Years on Compressor Warranty From Godrej,425,59,4.3,"₹31,999","₹57,780"
169,Hitachi, 1 Ton, 5 Star,window ,White,Copper,,Power Consumption: 1030 WW,,Wi-Fi Enabled: No,1 Year for Product & 4 Years for Compressor,"2,183",356,4.2,"₹28,999","₹29,090"
170,Godrej, 1.5 Ton, 3 Star,split inverter ,"White, Gold",Copper,Noise level: 43 dB,Power Consumption: 1046.29 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹33,990","₹43,900"
172,Thomson 4 in 1 Convertible Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1350 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor Warranty,116,26,4.2,"₹33,999","₹48,998"
173,IFB, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1210 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor","1,130",120,4.2,"₹29,990","₹37,990"
174,Blue Star, 2 Ton, 3 Star,window ,White,Copper,Noise level: 51 dB,Power Consumption: 2108 W,,Wi-Fi Enabled: No,1 year on Product and 5 Years on Compressor from Blue Star,"2,964",380,4.2,"₹34,990","₹44,000"
176,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1685 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹34,999","₹61,990"
177,CARRIER 4 in 1 Convertible Cooling, 1.2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1050 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from Carrier,"6,413",795,4.3,"₹36,999","₹52,990"
178,Daikin, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1680 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,"2,367",222,4.2,"₹39,700","₹52,700"
180,SAMSUNG, 2 Ton, 4 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1820 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,35,4,4.3,"₹46,999","₹77,990"
181,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 650 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,13,1,4.5,"₹38,890","₹58,990"
182,Voltas, 1 Ton, 5 Star,window ,White,Copper,,,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,"3,138",350,4.3,"₹31,999","₹32,990"
184,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R-32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB, and 10 Years on Compressor with Gas Charging",47,7,4.1,"₹48,480","₹77,990"
185,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 1015.7 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",32,3,3.8,"₹43,539","₹79,990"
186,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1670 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",17,0,3.8,"₹36,900","₹49,100"
188,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1500 W,Refrigerant: R32,Wi-Fi Enabled: Yes,5 Years Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹40,200","₹62,300"
189,Whirlpool, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1075 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool","27,658","3,503",4.2,"₹29,490","₹44,750"
190,SAMSUNG, 1 Ton, 3 Star,split triple inverter ,"White, Blue",Copper,Noise level: 21 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: No,"10 Years on Compressor, 5 Years on PCB and 5 Years on Condenser.","2,014",302,4.1,"₹31,490","₹48,990"
192,Blue Star, 1 Ton, 3 Star,split ,White,Copper,Noise level: 62 dB,Power Consumption: 739.27 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,502,72,4.2,"₹32,500","₹42,500"
193,Haier, 0.9 Ton, 3 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 732 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor From Haier,5,2,2.4,"₹27,990","₹52,991"
194,Lloyd, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1263.64 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd,"1,516",149,4.3,"₹47,990","₹73,990"
196,Lloyd, 0.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 585.16 kWh,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹30,999","₹41,990"
197,Haier, 1 Ton, 3 Star,split ,White,Copper,Noise level: 40 dB,Power Consumption: 972 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",94,9,4.2,"₹26,990","₹49,500"
198,Lloyd, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 711.74 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, and 10 Years on Compressor",nan,,,"₹31,499","₹44,490"
200,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 1050.84 kWh,Refrigerant: R-32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB, and 10 Years on Compressor with Gas Charging",11,3,4.4,"₹38,390","₹70,990"
201,IFB, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 db,Power Consumption: 1233.96 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 year warranty on product + 5 years on ODU PCB, 10 years on compressor","1,889",305,4.4,"₹45,490","₹59,590"
202,CARRIER 4 in 1 Convertible Cooling, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1500 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 2 Years on PCB and 10 Years on Compressor from Carrier","6,413",795,4.3,"₹41,999","₹61,990"
204,SAMSUNG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1490 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹41,990","₹64,990"
205,Blue Star, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 58 dB,Power Consumption: 977.46 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Inverter Compressor from Blue Star,"1,063",140,4.2,"₹40,499","₹61,000"
206,Lloyd, 1 Ton, 3 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1118 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 year on Product, 5 years on Condenser, 5 years on Compressor",259,30,4.2,"₹25,900","₹32,590"
208,Croma, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1570 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 9 Years on Compressor",nan,,,"₹30,990","₹42,000"
209,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1036.6 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,7,1,4.1,"₹37,990","₹59,190"
210,Voltas, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 925 W,,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor,10,0,3.7,"₹36,990","₹55,990"
212,LG Convertible 4-in-1 Cooling, 1 Ton, 5 Star,window dual inverter ,,Copper,Noise level: 44 dB,Power Consumption: 672.46 kWh,Refrigerant: R32,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",85,13,4.3,"₹31,990","₹56,990"
213,ONIDA, 1.5 Ton, 3 Star,split inverter smart,"Silver, White",Copper,Noise level: 38 dB,Power Consumption: 1600 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,1 Year on Product and 5 Year on Compressor from Onida,956,140,4.3,"₹34,999","₹41,990"
214,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 27 dB,Power Consumption: 940 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹40,949","₹55,500"
216,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 db,Power Consumption: 576.26 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty on Product, 4 Years on PCB and ODU Casing and 9 Years On Compressor",122,25,4.3,"₹40,990","₹57,500"
217,CARRIER Flexicool Convertible 4-in-1 Cooling, 1.5 Ton, 3 Star,split inverter ,,Copper,Noise level: 37 dB,Power Consumption: 1700 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,599,64,4.2,"₹38,500","₹65,790"
218,Voltas, 1.5 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,4,0,5,"₹34,999","₹53,590"
220,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,"White, Blue",Copper,Noise level: 36 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: Yes,5 Years Warranty on Product and 10 Years on Compressor,nan,,,"₹36,899","₹61,990"
221,Midea, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 38 dB,Power Consumption: 1445 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,5,0,3.2,"₹31,499","₹56,190"
222,Godrej, 1.5 Ton, 5 Star,split inverter ,"White, Gold",Copper,Noise level: 43 dB,Power Consumption: 840.2 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹39,490","₹51,900"
224,LG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 5500 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Year on PCB, 10 Year on Compressor",nan,,,"₹44,990","₹71,990"
225,ONIDA, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1280 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Year on Compressor from Onida,"5,081",601,4.3,"₹26,999","₹42,990"
226,Daikin, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1602 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹40,999","₹58,400"
228,LG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 5800 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG",nan,,,"₹44,150","₹75,990"
229,CARRIER, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 39 dB,Power Consumption: 1985 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor from Carrier,599,64,4.2,"₹44,499","₹65,990"
230,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1325 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹46,948","₹67,990"
232,Blue Star, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 62 dB,Power Consumption: 600.91 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Inverter Compressor,223,29,4.2,"₹35,990","₹56,500"
233,Voltas, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 41.5 dB,Power Consumption: 1130 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive and 4 Years Compressor Warranty from Voltas,71,6,4.5,"₹34,490","₹48,990"
234,SAMSUNG, 1.5 Ton, 5 Star,split ,White,Copper,Noise level: 45 dB,Power Consumption: 1350 W,,Wi-Fi Enabled: Yes,5 Years Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹45,200","₹64,500"
236,Lloyd, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 42 dB,Power Consumption: 1420 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and 5 Years Warranty on Compressor,788,68,4.1,"₹31,990","₹52,990"
237,Hitachi, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 897.84 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹49,990","₹66,600"
238,LG, 1.5 Ton, 4 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 920.82 kWh,Refrigerant: R-32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB, and 10 Years on Compressor with Gas Charging",10,3,4.3,"₹42,490","₹72,990"
240,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43.6 dB,Power Consumption: 1750 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹38,440","₹52,250"
241,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1752 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Daikin,"2,367",222,4.2,"₹37,799","₹51,100"
242,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,930","₹59,990"
244,Voltas, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 2000 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas,33,1,4,"₹49,999","₹75,000"
245,SAMSUNG, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 44 dB,Power Consumption: 1410 W,,Wi-Fi Enabled: No,"1 Year Comprehensive Warranty on Product, 1 Year on PCB, 1 Year on Condenser, 1 Year on Gas Recharge and 5 Years on Compressor from Samsung",138,8,4.3,"₹34,799","₹42,990"
246,Blue Star, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 39 dB,Power Consumption: 704.42 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹33,990","₹51,500"
248,CARRIER, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1750 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Domestic Warranty on Product and 10 Years on Compressor,599,64,4.2,"₹35,999","₹54,990"
249,LG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 5800 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG",nan,,,"₹43,990","₹75,990"
250,Blue Star, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 62 dB,Power Consumption: 669.13 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Inverter Compressor,71,12,4.3,"₹35,900","₹49,500"
252,CANDY, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 28 dB,Power Consumption: 1089.14 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,234,44,4.1,"₹28,999","₹43,000"
253,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1740 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Daikin,109,5,4,"₹36,900","₹61,990"
254,LG, 2 Ton, 5 Star,window dual inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1370.63 W,,Wi-Fi Enabled: No,"1 Year (Comprehensive), 10 Years (Compressor with Gas Charging)",51,7,4.3,"₹48,490","₹54,990"
256,Blue Star, 1.5 Ton, 4 Star,window ,White,Copper,Noise level: 55 dB,Power Consumption: 1510 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,10,4,4,"₹32,299","₹39,500"
257,Blue Star, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 41 dB,Power Consumption: 1456 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹38,990","₹52,250"
258,LG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 5000 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG",nan,,,"₹37,990","₹68,990"
260,Daikin, 0.8 Ton, 3 Star,split ,White,Copper,Noise level: 43 dB,Power Consumption: 709 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,158,13,4,"₹26,999","₹37,400"
261,ONIDA, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1525 W,,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,828,139,4.3,"₹36,999","₹60,890"
262,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 400 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",nan,,,"₹47,599","₹75,900"
264,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1420 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and 5 Years Warranty on Compressor,"1,516",149,4.3,"₹33,490","₹59,990"
265,Godrej, 1 Ton, 5 Star,split dual inverter ,"White, Silver",Copper,Noise level: 40 dB,Power Consumption: 584.46 kWh,Refrigerant: R290A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹33,990","₹45,900"
266,Voltas, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1130 W,,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor,20,4,3.8,"₹33,990","₹49,490"
268,Godrej, 2 Ton, 3 Star,window ,White,Copper,Noise level: 53 dB,Power Consumption: 1625 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor",9,0,4.6,"₹31,990","₹38,900"
269,Blue Star, 1.5 Ton, 5 Star,split inverter ,White,Copper,,Power Consumption: 1375 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",9,1,4.6,"₹42,790","₹66,500"
270,IFB, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 db,Power Consumption: 1119.15 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 year warranty on product + 5 years on ODU PCB, 10 years on compressor",538,87,4.4,"₹39,490","₹49,490"
272,Voltas, 2 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,19,3,3.7,"₹48,990","₹79,990"
273,SAMSUNG, 2 Ton, 4 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1820 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹48,690","₹77,990"
274,Voltas, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1455 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Voltas,nan,,,"₹44,990","₹60,990"
276,Voltas, 1 Ton, 3 Star,split ,Red,Copper,Noise level: 29 dB,,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,128,21,4.2,"₹30,990","₹45,990"
277,Hitachi, 1.5 Ton, 3 Star,window ,White,,,,,Wi-Fi Enabled: No,,11,0,3.7,"₹29,199","₹29,890"
278,Blue Star, 2 Ton, 3 Star,window ,White,Copper,Noise level: 57 dB,Power Consumption: 2016 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,25,4,4.1,"₹40,150","₹47,500"
280,Godrej, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 611.29 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years on Compressor,30,2,4.2,"₹34,499","₹50,000"
281,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 1440 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB, 9 Years on Compressor and 4 Years on ODU Casing",122,25,4.3,"₹51,850","₹69,900"
282,Blue Star, 1.5 Ton, 4 Star,window inverter ,White,Copper,Noise level: 55 dB,Power Consumption: 1680 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,3,0,3.7,"₹36,800","₹45,000"
284,Blue Star, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43.2 dB,Power Consumption: 1770 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,3,0,5,"₹58,900","₹80,000"
285,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 54 dB,Power Consumption: 1665 W,,Wi-Fi Enabled: No,1 Year Warranty on Product,459,43,4.3,"₹37,999","₹45,000"
286,Hitachi, 1.5 Ton, 3 Star,split ,"Gold, White",Copper,Noise level: 39 dB,Power Consumption: 1495 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Complete Product and 5 Years on Compressor,254,28,3.9,"₹33,490","₹47,690"
288,Croma, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1070 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 10 Years on Compressor",nan,,,"₹28,990","₹38,000"
289,Voltas, 1 Ton, 3 Star,split ,White,Copper,Noise level: 45 dB,Power Consumption: 980 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,4,0,4.5,"₹31,990","₹44,753"
290,LG, 1 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 571.99 kWh,Refrigerant: R32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",nan,,,"₹38,350","₹64,990"
292,Panasonic, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 56 dB,Power Consumption: 1168.9 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and 4 Years on Compressor,nan,,,"₹34,880","₹44,490"
